Trajectories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Test1:E1,,,Test1:M1,,,Test1:I1,,,Test1:E2,,,Test1:M2,,,Test1:I2,,,Test1:E3,,,Test1:M3,,,Test1:I3,,,Test1:E4,,,Test1:M4,,,Test1:I4,,,Test1:E5,,,Test1:M5,,,Test1:I5,,,Test1:E6,,,Test1:M6,,,Test1:I6,,,Test1:M2A,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1930,0,338.28714,379.575684,-41.322784,572.073425,251.21727,-60.274776,685.444336,151.59671,-68.780045,382.603088,404.635956,109.58387,564.539001,250.179916,121.682739,681.22467,150.729309,132.959702,280.949371,294.461517,81.815155,553.060425,31.864979,37.386234,,,,886.873535,-224.029938,-9.221905,758.138062,-153.253754,-79.717247,632.512268,-7.706131,-69.661591,831.717285,-139.659698,131.66127,731.639771,-87.616577,101.753967,697.439636,-46.123589,126.837822,953.809998,-63.415253,11.30265,816.944885,71.750198,2.402071,850.560425,24.026833,-32.677689,483.415253,102.028877,35.297207
1931,0,338.483093,380.017273,-40.954426,571.687439,250.798798,-60.155613,685.084595,150.983475,-68.680237,383.136169,404.834625,109.20652,564.367371,249.530258,121.731567,680.877075,150.305115,133.07579,280.646942,295.551086,81.769783,553.147949,31.119902,37.491436,,,,888.667542,-223.054794,-8.199141,759.266296,-154.503769,-79.757996,632.780884,-7.252762,-69.538261,831.564697,-137.97757,131.785004,731.492432,-88.005646,101.296524,697.945557,-46.860085,126.605377,953.399597,-61.009815,11.346311,816.464355,70.816452,1.983761,849.532349,24.200735,-33.206833,482.420959,101.736252,35.532982
1932,0,338.813141,380.615387,-40.963596,571.145935,250.369278,-60.232929,684.815735,150.507004,-68.7192,382.851074,405.454224,109.584618,564.063049,248.894119,121.663483,680.27655,149.946777,133.095078,280.38974,296.610748,81.725143,553.075562,30.429989,37.343407,,,,890.168396,-222.345001,-7.068145,760.073669,-155.29982,-79.821274,632.581604,-7.419447,-69.504456,830.736267,-136.094376,131.527023,731.737732,-88.315613,100.922554,698.140442,-47.560509,126.356171,952.686096,-59.455753,10.74555,816.569885,70.799187,2.199476,848.899353,24.377851,-33.643757,481.816833,101.432587,35.634132
1933,0,339.033081,381.405182,-41.117233,570.576294,249.892639,-60.158215,684.410095,149.92392,-68.582726,383.682465,405.828705,109.391159,563.713928,248.338425,121.416428,679.628174,150.052505,133.059174,280.202087,297.657379,81.834114,552.727783,29.844938,37.574173,,,,891.841248,-221.301666,-6.010564,760.779358,-156.025879,-80.104706,632.269714,-7.754242,-69.544579,830.172729,-134.063019,131.261749,731.869385,-88.687996,100.779999,698.28595,-48.075005,126.199829,951.831177,-57.342293,10.07068,815.989502,70.071953,1.839199,848.347229,24.485401,-34.229633,480.931213,101.196213,35.584888
1934,0,339.615112,381.769226,-41.245747,570.162781,249.516861,-60.19455,684.281006,149.523239,-68.61779,385.085724,405.927856,109.076965,563.528564,247.812744,121.25972,679.144836,150.318283,133.206833,280.11972,298.738373,81.895226,552.926025,29.234602,37.768383,,,,893.136597,-220.541916,-4.788878,761.981628,-157.548843,-79.748314,631.769897,-7.759834,-69.548378,830.335815,-132.677658,131.413727,731.728333,-88.922401,100.347198,698.665649,-49.132065,126.212883,952.093689,-55.441582,9.985568,815.724243,69.662125,1.640275,847.194519,24.711056,-35.21542,480.525391,100.710999,35.445992
1935,0,340.664093,382.507629,-41.168484,569.158386,249.079163,-60.162212,683.793457,147.638428,-68.605812,388.151306,406.389313,108.514351,563.012146,246.195206,121.694649,679.201904,149.73912,133.165466,280.202972,300.936646,82.047485,552.339966,28.734449,38.002949,,,,893.797729,-218.659225,-3.970462,764.215271,-159.317215,-79.753899,630.735107,-8.944305,-69.445938,831.165527,-131.262405,132.291458,731.482971,-89.803658,99.851822,698.267578,-48.243225,125.628036,952.387573,-54.223415,10.618133,814.407227,69.389565,1.851236,845.314819,25.149263,-36.112217,480.946442,99.126999,35.672726
1936,0,340.70163,383.580994,-41.328789,568.992615,248.643951,-60.212917,683.52594,146.652466,-68.771202,388.170685,406.842926,108.34404,562.780762,247.464493,120.829918,678.285217,147.44313,132.64859,280.348602,301.957794,82.117874,549.97522,29.085325,37.022266,,,,894.528748,-217.45018,-5.405728,766.856689,-159.213593,-80.287056,630.206665,-9.613685,-69.519585,833.742126,-131.515427,132.468094,731.822815,-90.972755,99.390862,697.116455,-50.734905,124.709633,953.414612,-53.701729,11.856166,812.990356,69.643173,2.258245,844.047791,25.702398,-36.663353,479.619415,99.995132,35.786411
1937,0,340.699066,383.912079,-41.294411,568.993042,248.656738,-60.066105,682.283325,145.438141,-68.634659,387.710693,407.172882,109.031799,562.574829,247.34938,121.077934,677.916077,147.07132,132.857391,280.445648,302.147095,82.19313,547.869141,29.121418,38.405998,,,,896.220825,-216.028519,-7.960629,768.094849,-159.767883,-79.97834,629.828125,-11.953685,-69.334198,836.432007,-134.519714,132.551422,732.852295,-92.18425,99.975365,698.066223,-52.191372,125.388443,954.88446,-53.196198,13.283897,810.776367,69.710007,2.569611,842.35907,26.691879,-36.113628,478.920807,100.310364,35.966064
1938,0,340.89267,384.024963,-41.452072,568.997375,248.715607,-60.00494,681.518188,144.550827,-68.749168,387.013123,407.219604,109.071411,562.294312,247.515579,121.405678,677.945068,145.736145,132.727829,280.684265,301.462219,82.176674,546.423096,29.29258,38.807041,,,,896.482971,-215.507339,-9.388618,769.483643,-159.378174,-80.594124,629.735107,-13.144421,-69.467697,838.544189,-135.441284,132.575211,733.794434,-93.415642,99.903038,697.783081,-53.306015,125.117439,957.664062,-53.298683,15.079425,810.53833,69.427567,2.942723,843.113708,27.293795,-34.839378,478.244293,100.798439,36.097702
1939,0,340.764709,383.979065,-41.40633,568.972656,248.685013,-60.016731,681.140015,144.18837,-68.68988,385.862366,406.718567,109.708321,562.257874,247.139908,121.461906,677.450745,145.250229,132.711777,280.939301,300.357422,82.223801,545.48407,29.298584,38.435127,,,,895.729065,-215.343643,-10.067227,770.103577,-159.807098,-80.148689,629.634216,-13.864379,-69.454338,840.142456,-136.145172,133.076782,734.23584,-93.712715,99.957542,697.536011,-53.059059,125.107704,958.416016,-53.615936,15.549615,809.474609,69.777451,2.821627,842.823608,27.564026,-34.5312,477.799072,100.912224,36.290104
